,Repository Name,Repository Link
0,news-extract-selenium,https://github.com/riteshzode/news-extract-selenium
1,bs4-Job-search,https://github.com/riteshzode/bs4-Job-search
2,Tin-Dog,https://github.com/riteshzode/Tin-Dog
3,Meme-Flask-Website,https://github.com/riteshzode/Meme-Flask-Website
4,Higher-or-Lower-URLs,https://github.com/riteshzode/Higher-or-Lower-URLs
5,House_price_checker,https://github.com/riteshzode/House_price_checker
6,flight_deal_checker,https://github.com/riteshzode/flight_deal_checker
7,check_iss_satellite_position,https://github.com/riteshzode/check_iss_satellite_position
8,100_movie_names,https://github.com/riteshzode/100_movie_names
9,Stock_News_API,https://github.com/riteshzode/Stock_News_API
10,Caesar-Cipher,https://github.com/riteshzode/Caesar-Cipher
11,Hangman-Game,https://github.com/riteshzode/Hangman-Game
12,Number-Guess,https://github.com/riteshzode/Number-Guess
13,Black-Jack,https://github.com/riteshzode/Black-Jack
14,Learn_Numpy,https://github.com/riteshzode/Learn_Numpy
15,Pandas_Pokemon,https://github.com/riteshzode/Pandas_Pokemon
16,Sales-Analysis,https://github.com/riteshzode/Sales-Analysis
17,50_US_State,https://github.com/riteshzode/50_US_State
18,Weather_Check_API,https://github.com/riteshzode/Weather_Check_API
19,markdown-portfolio,https://github.com/riteshzode/markdown-portfolio
20,python-random-quote,https://github.com/riteshzode/python-random-quote
21,intro-html,https://github.com/riteshzode/intro-html
22,merge-conflicts,https://github.com/riteshzode/merge-conflicts
23,reviewing-a-pull-request,https://github.com/riteshzode/reviewing-a-pull-request
24,Snake_Gamer,https://github.com/riteshzode/Snake_Gamer
25,Partern_Problem,https://github.com/riteshzode/Partern_Problem
26,kanye-quotes-api,https://github.com/riteshzode/kanye-quotes-api
27,Password-Manager,https://github.com/riteshzode/Password-Manager
28,Pong_Game_Project,https://github.com/riteshzode/Pong_Game_Project
29,Flash-Card-Project,https://github.com/riteshzode/Flash-Card-Project
30,Type_of_Sorts,https://github.com/riteshzode/Type_of_Sorts
31,oss-enterprise,https://github.com/riteshzode/oss-enterprise
32,github-upload,https://github.com/riteshzode/github-upload
33,github-slideshow,https://github.com/riteshzode/github-slideshow
34,Quizz-App,https://github.com/riteshzode/Quizz-App
35,Pomodoro-App,https://github.com/riteshzode/Pomodoro-App
36,Turtle_Extra,https://github.com/riteshzode/Turtle_Extra
37,Turtle_Crossing_Project,https://github.com/riteshzode/Turtle_Crossing_Project
38,Turtle_Race_Project,https://github.com/riteshzode/Turtle_Race_Project
